Commercial.Online.Year,pca,tech,coolingwatertech,cap
2018,p105,gas-CC,none,703.0
2018,p107,gas-CC,none,644.0
2018,p11,gas-CT,none,527.5
2018,p111,gas-CC,none,850.0
2018,p114,gas-CC,none,484.0
2018,p115,gas-CC,none,926.0
2018,p12,geothermal,none,84.0
2018,p122,gas-CC,none,3834.2000000000003
2018,p122,gas-CT,none,15.200000000000001
2018,p123,gas-CC,none,755.0
2018,p123,gas-CT,none,27.6
2018,p126,gas-CC,none,540.0
2018,p126,gas-CT,none,122.6
2018,p127,gas-CC,none,705.0999999999999
2018,p127,o-g-s,none,1.5
2018,p132,gas-CC,none,745.0
2018,p132,gas-CT,none,90.0
2018,p132,o-g-s,none,3.4
2018,p134,o-g-s,none,23.0
2018,p28,gas-CT,none,209.4
2018,p31,geothermal,none,7.0
2018,p4,hydro,none,122.0
2018,p43,gas-CT,none,261.50000000000006
2018,p45,gas-CT,none,4.0
2018,p50,gas-CT,none,399.0
2018,p53,gas-CT,none,6.0
2018,p58,coal-new,none,580.0
2018,p63,gas-CT,none,225.60000000000005
2018,p67,gas-CT,none,103.0
2018,p87,gas-CT,none,6.2
2018,p9,biopower,none,30.0
2018,p9,hydro,none,2.7
2018,p9,o-g-s,none,2.0
2018,p92,gas-CC,none,2104.2
2018,p97,gas-CC,none,486.0
2018,p99,gas-CC,none,1585.0
2018,p99,gas-CT,none,300.0
2019,p10,gas-CC,none,29.4
2019,p10,gas-CT,none,0.8999999999999999
2019,p10,o-g-s,none,7.8
2019,p101,biopower,none,12.0
2019,p101,gas-CC,none,1723.1
2019,p101,gas-CT,none,74.0
2019,p103,gas-CC,none,35.0
2019,p103,gas-CT,none,7.7
2019,p105,gas-CT,none,11.2
2019,p109,lfill-gas,none,1.0
2019,p122,gas-CC,none,955.1
2019,p122,gas-CT,none,8.8
2019,p127,gas-CT,none,1.5
2019,p131,gas-CT,none,539.3
2019,p132,gas-CC,none,485.0
2019,p132,o-g-s,none,7.4
2019,p18,hydro,none,3.4
2019,p28,gas-CT,none,314.1
2019,p43,gas-CT,none,19.6
2019,p50,coal-new,none,1025.0
2019,p58,gas-CC,none,1000.0
2019,p65,gas-CC,none,232.0
2019,p68,gas-CC,none,200.0
2019,p74,gas-CT,none,183.00000000000003
2019,p81,gas-CT,none,2.8
2019,p87,gas-CT,none,36.4
2019,p89,biopower,none,29.4
2019,p90,gas-CT,none,43.6
2019,p94,biopower,none,158.5
2019,p96,gas-CT,none,7.0
2019,p97,gas-CC,none,586.4
2019,p98,gas-CT,none,5.6
2020,p10,gas-CC,none,1206.0
2020,p10,gas-CT,none,91.8
2020,p105,gas-CC,none,0.01
2020,p115,gas-CC,none,273.0
2020,p122,gas-CC,none,1858.0
2020,p127,gas-CC,none,1312.5000000000002
2020,p15,hydro,none,3.2
2020,p30,gas-CT,none,181.99999999999997
2020,p4,hydro,none,122.0
2020,p5,hydro,none,18.0
2020,p58,gas-CC,none,1000.0
2020,p78,gas-CC,none,700.0
2021,p10,lfill-gas,none,1.6
2021,p111,gas-CC,none,1060.0
2021,p43,gas-CT,none,218.0
2022,p103,gas-CC,none,1146.0
2022,p94,nuclear,none,1100.0
2023,p94,nuclear,none,1100.0
