Nuke60RetireYear,pca,tech,coolingwatertech,cap
2014,p76,CoalOldUns,none,1115.0
2014,p77,gas-CT,none,1.1
2014,p81,gas-CT,none,4.2
2014,p83,CoalOldUns,none,1158.0
2014,p87,gas-CC,none,13.0
2014,p9,hydro,none,15.8
2014,p90,gas-CC,none,18.0
2014,p92,hydro,none,4.8
2014,p94,CoalOldUns,none,817.0
2014,p94,biopower,none,5.9
2014,p94,gas-CT,none,0.001
2014,p94,hydro,none,19.6
2014,p96,gas-CC,none,64.0
2014,p96,gas-CT,none,14.0
2014,p96,hydro,none,12.5
2015,p10,CoalOldScr,none,54.0
2015,p10,lfill-gas,none,1.7
2015,p102,gas-CT,none,10.0
2015,p103,CoalOldUns,none,324.0
2015,p103,hydro,none,0.6
2015,p103,o-g-s,none,34.0
2015,p109,CoalOldUns,none,297.0
2015,p112,gas-CT,none,12.5
2015,p114,gas-CT,none,92.0
2015,p127,hydro,none,28.200000000000003
2015,p128,gas-CT,none,1.5
2015,p129,gas-CT,none,8.7
2015,p129,hydro,none,0.6
2015,p131,hydro,none,20.6
2015,p134,hydro,none,1.7999999999999998
2015,p16,hydro,none,9.3
2015,p17,hydro,none,68.0
2015,p18,hydro,none,44.0
2015,p3,hydro,none,46.099999999999994
2015,p32,gas-CT,none,10.0
2015,p34,gas-CT,none,1.2
2015,p38,CoalOldUns,none,474.0
2015,p40,gas-CT,none,2.3
2015,p41,CoalOldUns,none,82.0
2015,p41,gas-CT,none,2.3
2015,p43,CoalOldUns,none,584.0
2015,p43,hydro,none,0.6
2015,p45,gas-CT,none,6.5
2015,p46,hydro,none,1.3
2015,p48,o-g-s,none,42.0
2015,p50,gas-CT,none,5.6
2015,p52,gas-CT,none,4.5
2015,p53,CoalOldUns,none,1398.0
2015,p53,gas-CT,none,9.2
2015,p53,o-g-s,none,13.0
2015,p54,o-g-s,none,51.0
2015,p55,CoalOldUns,none,198.0
2015,p55,gas-CT,none,7.1
2015,p58,gas-CT,none,1.8
2015,p63,o-g-s,none,87.0
2015,p66,o-g-s,none,8.9
2015,p68,gas-CT,none,2.4
2015,p68,o-g-s,none,14.8
2015,p69,CoalOldUns,none,229.0
2015,p70,CoalOldUns,none,1.7
2015,p72,gas-CT,none,39.0
2015,p77,hydro,none,7.2
2015,p78,gas-CT,none,1.3
2015,p80,CoalOldUns,none,689.0
2015,p81,gas-CT,none,11.200000000000001
2015,p82,CoalOldUns,none,768.0
2015,p84,gas-CT,none,5.6
2015,p85,gas-CT,none,3.2
2015,p87,CoalOldUns,none,1020.0
2015,p90,hydro,none,5.0
2015,p97,hydro,none,27.0
2015,p99,hydro,none,1.6
2016,p10,gas-CT,none,1.1
